Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Кабинет-музей академика А.П. Виноградова,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,None,http://www.geokhi.ru/,8 (495) 939-77-00,Косыгина ул.+++ д. 19,55.7057083,37.5517833
Кабинет-музей академика Н.А. Платэ,Музеи,None,None,None,None,None,None,None,http://plate.ips.ac.ru/,None,Ленинский проспект+++ дом 29,55.7140111,37.5916417
Квартира семьи Маяковских на Красной Пресне,Музеи,None,12.00-20.00,12.00-20.00,13.00-21.00,12.00-20.00,12.00-20.00,None,http://muzeimayakovskogo.ru,8 (499) 255-01-86,Красная Пресня ул.+++ д. 36+++ стр. 1+++ кв. 24,55.7625861,37.5668583
КВЦ Сокольники,Выставочные центры,None,None,None,None,None,None,None,None,None,Сокольнический вал+++ 1,55.7989778,37.6747472
Красные палаты XVII в.,Музеи,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,None,None,None,8 (495) 202-65-31,Остоженка ул.+++ д.2,55.743825,37.6011417
Крокин галерея,Выставочные центры,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-16.00,http://krokingalereya.com/,8 (495) 959-01-41+++ 8  (964) 564-03-03 (по предварительной договоренности),Большая Полянка+++ 15,55.7394917,37.6181528
Крокус Сити Океанариум,Цирки+++ зоопарки+++ океанариумы,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,https://crocus-oceanarium.ru/,8 (495) 727-22-11,"Московская обл.+++ 66 км МКАД+++ ТРК ""VEGAS Крокус Сити""",55.8188028,37.3860278
Крокус экспо,Выставочные центры,None,None,None,None,None,None,None,None,None,г. Красногорск+++ ул. Международная+++ д. 16+++ а/я 92.,55.8186194,37.3872889
Крокус Экспо,Выставочные центры,None,None,None,None,None,None,None,None,None,66 км МКАД+++ пересечение с Волоколамским шоссе,55.8348194,37.4000778
Культурный центр Андрея Вознесенского,Музеи,None,None,None,None,None,None,None,None,None,Большая Ордынка ул. д. 46+++ стр. 3,55.7355611,37.6240139
Литературный музей,Музеи,None,11.00-18.00,11.00-18.00,13.00-20.00,11.00-18.00,11.00-18.00,11.00-18.00,http://www.goslitmuz.ru/,8 (495) 621-38-57,Трубниковский пер.+++ д. 17+++ стр. 1,55.754725,37.586575
Ломаковский музей старинных автомобилей и мотоциклов,Музеи,None,None,None,None,None,None,None,None,None,ул. Краснодарская+++  58,55.6744694,37.7704
Мавзолей Ленина,Музеи,None,None,None,None,None,None,None,http://lenin.ru/,8 (495) 623-55-27,Красная пл.,55.7536361,37.6198167
Медицинский музей,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,None,None,Малая Сухаревская пл.+++ д.3,55.7730889,37.6340028
Международный центр-музей им. Рериха Н.К.,Музеи,None,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,http://www.icr.su/,8 (499) 271-34-17+++  8 (499) 271-34-20,Знаменский М. пер.+++ 3/5,55.7466917,37.6033361
Мемориальная квартира Андрея Белого  (Филиал Государственного музея А.С.Пушкина),Музеи,None,None,None,None,None,None,None,None,None,Арбат ул.+++ 55,55.7474167,37.5853611
Мемориальная квартира семьи Маяковских в Студенецком переулке,Музеи,None,None,None,None,None,None,None,https://xn--80aedfjnibldycb2bv1r.xn--p1ai/,8 (495) 621-71-83+++ 8 (499) 255-01-86,Студенецкий пер.+++ д. 6+++ кв. 20,55.7583,37.5564722
Мемориальная музей-квартира Г.М. Кржижановского,Музеи,None,None,None,None,None,None,None,https://www.sovrhistory.ru/subsidiarys/555488b2925b59736836108d,8 (495) 953-06-40,Садовническая ул.+++ д. 30+++ стр. 1,55.7462639,37.6333833
Мемориальный дом-Музей академика Королева,Музеи,11.00-17.00.13.00-21.00..16.3020.30.,11.00-17.00.13.00-21.00..16.3020.30.,11.00-17.00.13.00-21.00..16.3020.30.,11.00-17.00.13.00-21.00..16.3020.30.,11.00-17.00.13.00-21.00..16.3020.30.,11.00-17.00.13.00-21.00..16.3020.30.,11.00-17.00.13.00-21.00..16.3020.30.,http://www.kosmo-museum.ru/static_pages/memorialnyy-dom-muzey-akademika-s-p-korolyova,Справочная: 8 (495) 686-01-81+++ экскурсионное бюро: 8 (495) 686-01-81,1-я Останкинская ул. д.28С1,55.8235167,37.6312778
Мемориальный кабинет Рубинштейна,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.ipras.ru/,8 (917) 566-18-09,Ярославская ул.+++ д.13. 446 кабинет+++ 4 этаж,55.8193806,37.6470889
Мемориальный Кабинет-музей академика Вернадского,Музеи,None,None,None,None,None,None,None,http://www.geokhi.ru/,8 (499) 137-14-84,Косыгина ул.+++ д. 19,55.7058,37.5518389
Мемориальный кабинет-музей Вавилова,Музеи,11.00-16.00.,11.00-16.00.,11.00-16.00.,11.00-16.00.,11.00-16.00.,11.00-16.00.,11.00-16.00.,http://www.vigg.ru/,8 (499) 135-53-68+++ 8 (916) 884-89-14,Губкина ул.+++ д.3  Институт общей генетики РАН им. Н.И. Вавилова.,55.6957556,37.565275
Мемориальный кабинет-музей Г.К. Жукова,Музеи,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,None,None,http://www.cmaf.ru/,8 (495) 696-22-98,Знаменка ул.+++ д.19,55.7497722,37.6016583
Мемориальный музей космонавтики,Музеи,None,10.00-19.00,10.00-19.00,10.00-21.00,10.00-19.00,10.00-21.00,10.00-19.00,http://www.kosmo-museum.ru,8 (499) 750-23-00 (доб. 1016),Просп. Мира+++ 111+++,55.8227361,37.6396972
Мемориальный музей Юрия Сенкевича,Музеи,None,None,None,None,None,None,None,None,8 (495) 684-34-80,Селезневская ул.+++ д. 11+++ стр. 3,55.7808056,37.6052194
Мемориальный музей-кабинет академика М.В.Келдыша,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,None,None,http://www.keldysh.ru/,8 (495) 251-26-56,Миусская пл.+++ 4,55.7762139,37.5942167
Мемориальный музей-кабинет академика Наметкина,Музеи,None,None,None,None,None,None,None,http://www.ssnametkin.ru/,8 (495) 954-59-27,Ленинский пр-т+++ д. 29+++ Институт нефте-химического синтеза им. А.В.Топчева,55.714025,37.5916528
Мемориальный музей-квартира Ел.Ф.Гнесиной,Музеи,None,None,None,None,None,None,None,https://sites.google.com/a/gnesin-academy.ru/gnesina-museum/,8  (495) 690-45-05,Поварская ул.+++ д. 30/36,55.7559972,37.5916528
Мемориальный музей-квартира К.А. Тимирязева,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,None,http://timmuseum.timacad.ru/,8 (495) 695-80-64,Романов пер.+++ д. 4+++ кв. 29,55.7542361,37.6094722
Мемориальный музей-квартира священника Павла Флоренского,Музеи,None,None,None,None,None,None,None,http://florenskyfond.ru/,Заявки принимаются по телефону 8 (499) 246‑54‑90 по вторникам с 12.00 до 17.00 часов+++ ежедневно по телефону 8 (909) 69-69-051.,Бурденко+++ д. 16/12+++ кв. 21. Вход с подъезда на Новоконюшенном переулке,55.7389278,37.5805111
Минералогический музей им. Ферсмана,Музеи,None,None,None,None,None,None,None,None,None,Ленинский просп.+++ 18+++ корп. 2+++,55.7186417,37.5929833
Московская Гос. Специализированная школа с музейно-выставочным комплексом Сергея Андрияки,Выставочные центры,None,None,None,None,None,None,None,None,None,Гороховский пер.+++ 17,55.7653528,37.6675722
Московский выставочный зал Галерея А3,Выставочные центры,None,None,None,None,None,None,None,None,None,Староконюшенный пер.+++ д.39,55.7491472,37.5943972
Московский Гостиный двор (МГД),Выставочные центры,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,http://www.mosgd.ru/,8 (495) 698-12-02+++ 8 (495) 956-38-20,Ильинка ул.+++ 4,55.7543722,37.6250833
Московский государственный Музей Вадима Сидура,Музеи,None,None,None,None,None,None,None,http://www.moscowmanege.ru/ru/,8 (495) 645-92-77,ул. Новогиреевская+++ д. 37,55.7529,37.7991278
Московский Государственный Музей С.А.Есенина,Музеи,None,None,None,13.00-21.00,10.00-18.00,10.00-18.00,10.00-18.00,http://esenin-museum.ru/,8 (499) 367-59-54+++ 8 (495) 954-97-64+++ 8 (495) 954-20-77,Большой Строченовский пер.+++ д. 24,55.7276389,37.6308944
Московский дом бабочек «Buterfly»,Музеи,None,None,None,None,None,None,None,None,None,Проспект Мира вл.119С2 (ВДНХ+++ павильон №2),55.8283472,37.6317778
Московский литературный музей - центр К.Г. Паустовского,Музеи,10.00-17.00,None,10.00-17.00,13.00-21.00,10.00-17.00,10.00-17.00,10.00-17.00,http://www.mirpaustowskogo.ru,8 (499) 172-77-91,Кузьминская ул.. д. 8,55.6938889,37.7887833
Московский музей образования,Музеи,11.00-17.00-,11.00-17.00-,11.00-17.00-,11.00-17.00-,11.00-17.00-,11.00-17.00-,11.00-17.00-,None,8 (495) 951-50-33,Вишняковский пер.+++ д. 12+++ стр. 1,55.7360139,37.6295944
МосЭкспо,Выставочные центры,None,None,None,None,None,None,None,http://expo.vdnh.ru/,8 (495) 974-77-77,Проспект Мира вл.119С70-71 (ВДНХ+++ павильон №75),55.8307833,37.6384972
Музей  им. С.С. Прокофьева,Музеи,None,None,None,None,None,None,None,None,None,Токмаков пер.+++ 8,55.7663194,37.6693611
"Музей ""Кадашёвская слобода""",Музеи,None,None,None,None,None,None,None,http://museumkadashi.com/,8 (925) 131-19-06,Кадашевский тупик+++ д. 2 стр. 5,55.7431778,37.6229861
"Музей ""Ледниковый период""",Музеи,None,None,None,None,None,None,None,http://www.iceage.ru/,None,Проспект Мира вл.119 (ВДНХ+++ павильон №71),55.8300694,37.634075
"Музей ""М.И.Р. шоколада""",Необычные музеи,None,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,http://www.chocoandcacao.ru/,8 (495) 233-82-12,Триумфальная площадь+++ д. 1 (вход с улицы 1-ая Брестская+++ дом 2+++ стр 3),55.7700944,37.5949333
"Музей ""Москва-Сити""",Музеи,17.00-23.00,11.00-23.00,11.00-23.00,11.00-23.00,11.00-23.00,11.00-23.00,11.00-23.00,http://museum.citymoscow.ru/,8 (495) 775-36-56,"Башня ""Империя"" в Москва-сити. Вход в Музей находится в Южном лобби.",55.7476889,37.541025
"Музей ""Подпольная типография 1905-1906 гг.""",Музеи,None,None,None,None,None,None,None,None,8 (499) 250-3074+++ 8 (499) 251-6943 (экс. бюро),Лесная ул. д.55,55.7823167,37.5923833
"Музей ""Поле чудес""",Необычные музеи,None,None,None,None,None,None,None,http://ostankino.ru/ekskursii,8 (495) 617- 76-38,ул. Академика Королева+++ 12+++ фойе главного здания телецентра Останкино,55.8228361,37.6067389
"Музей ""Пчеловодство"" на ВДНХ",Музеи,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://xn--80aegb4api8cl.xn--p1ai/,8 (495) 127-70-08,Проспект Мира+++ 119+++ павильон №28,55.836275,37.6162556
"Музей ""РОТ ФРОНТ""",Музеи,09.00-17.00,09.00-17.00,09.00-17.00,09.00-17.00,09.00-17.00,None,None,http://www.uniconf.ru/about/museums/rot-front/,8 (495) 951-25-80,2-ой Новокузнецкий пер. д.13/15,55.7340833,37.6317861
"Музей ""Садовое кольцо""",Музеи,None,None,None,12.00-21.00,None,11.00-18.00,11.00-18.00,http://sadovoekoltso.com/,8 (495) 608-14-03,просп. Мира+++ 14+++ стр. 10,55.7748472,37.6326278
"Музей ""Секреты инквизиции""",Необычные музеи,None,None,None,None,None,None,None,None,None,Проспект Мира вл.119 стр.2 (ВДНХ+++ павильон №2),55.8284861,37.6311444
Музей А.М. Горького на Поварской,Музеи,11.00-17.30,None,11.00-17.30,11.00-17.30,11.00-17.30,None,None,http://imli.ru/index.php/literaturnaya-ekspozitsiya-na-povarskoj,8 (495) 697-32-41,Поварская ул.+++ 25а,55.7557778,37.5890917
Музей А.Н. Скрябина,Музеи,None,None,11.00-19.00,11.00-21.00,11.00-19.00,11.00-19.00,11.00-19.00,https://www.scriabinmuseum.ru/,8 (499) 241-19-01+++ 8 (499) 241-21-52,Большой Николопесковский пер.+++ д. 11+++,55.7507306,37.5901194
Музей А.С. Пушкина,Музеи,None,10.00-18.00,10.00-18.00,12.00-21.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.pushkinmuseum.ru/,8 (495) 637-56-74,Пречистенка+++ 12/2+++,55.7435667,37.5976083
Музей А.С.Макаренко,Музеи,None,None,None,None,None,None,None,None,None,ул. Поклонная+++ д. 16,55.7343139,37.52145
Музей автомобильных историй,Необычные музеи,None,09.00-21.00,09.00-21.00,09.00-21.00,09.00-21.00,09.00-21.00,09.00-20.00,http://autostory.pro/,8 (495) 286-72-54,Коптевская ул.+++ д. 71,55.8322972,37.518825
Музей актуального искусства ART4.RU,Музеи,None,None,None,None,None,None,None,http://www.art4.ru/,8 (499) 136-56-56,Хлыновский тупик+++ 4,55.7577472,37.6029528
Музей Анатолия Зверева,Музеи,None,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,http://museum-az.ru,8 (495) 730-55-26,2-я Тверская-Ямская+++ 20–22+++ стр. 2,55.7720306,37.5945306
Музей Андрея Сахарова и общественный центр.,Музеи,None,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,http://www.sakharov-center.ru/,8 (495) 623-44-01+++8 (495) 623-44-20,ул. Земляной Вал+++ 57+++ стр. 6,55.7512528,37.6588472
