Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернете,Контактный Телефон,Адрес,Долгота,Широта,Круглосуточно
Музей истории Аничкова дворца (Санкт-Петербургский городской Дворец творчества юных),Музеи,None,None,None,None,None,None,None,http://www.anichkov.ru/page/museum/,8(812)310-93-80,"191011, Санкт-Петербург, Невский пр., 39",59.932793000000004,30.341695,0
Музей истории Военно-морской академии им. Адмирала флота Советского Союза Н.Г. Кузнецова,Музеи,None,None,None,None,None,None,None,http://www.museum.ru/m1979,+7(812)4961618,"197045, Санкт-Петербург, Ушаковская наб., 17/1",59.984598,30.301773999999998,0
Музей истории войск ордена Ленина Ленинградского военного округа,Музеи,None,None,None,None,None,None,None,www.museum.ru/M220,+7(812)5788667,"192028, Санкт-Петербург, Литейный пр., 20",59.943575,30.349042999999998,0
Музей истории гимназии Карла Мая Санкт-Петербургского института информатики и автоматизации РАН,Музеи,None,None,None,None,None,None,None,www.karl-may.narod.ru,328-33-11,"199178, Санкт-Петербург, В.О., 14-я линия, 39",59.939735,30.269434000000004,0
"Музей истории государственных бумаг России Санкт-Петербургской бумажной фабрики ""Гознак""",Музеи,None,None,None,None,None,None,None,http://spbf.goznak.ru/about/today/museum/,+7(812)5751479,"190103, Санкт-Петербург, наб. р. Фонтанки, 144",59.915323,30.289583,0
"Музей истории денежного обращения ""Конрос""",Музеи,None,None,None,None,None,None,None,www.conros.ru/1/museum/,+7 (812) 640-07-07,"197342, Санкт-Петербург, Сердобольская ул., 65, лит. а",59.986763,30.312122,0
"Музей истории завода ""Двигатель""",Музеи,None,None,None,None,None,None,None,http://www.dvigatel.net/history.html,+7(812)2921069,"194044, Санкт-Петербург, Пироговская наб., 13",59.96071,30.339251,0
"Музей истории завода ""Красный Октябрь""",Музеи,None,None,None,None,None,None,None,http://www.koavia.com/,+7(812)2929636,"194100, Санкт-Петербург, Политехническая ул., 13-15",59.996632,30.365814,0
"Музей истории кирпича (Группа компаний «Группа ЛСР», бывш. завод ""Керамика"")",Музеи,None,None,None,None,None,None,None,http://www.lsrstena.ru/,+7(812)3348718,"193091, Санкт-Петербург, г. Колпино, ул. Загородная, дом 9",59.855774,30.400696000000003,0
Музей истории Колпинской детской больницы (в здании Детской городской больницы № 22),Музеи,None,None,None,None,None,None,None,None,+7(812)4630917,"196657, Санкт-Петербург, г. Колпино, Заводской пр., 1",59.738347999999995,30.558063,0
Музей истории Кронштадта,Музеи,None,None,None,None,None,None,None,None,+7(812)4350873,"197760, Санкт-Петербург, г. Кронштадт, ул. Ленинградская, 2",59.987168000000004,29.792564000000002,0
Музей истории Ленинградского оптико-механического объединения,Музеи,None,None,None,None,None,None,None,http://www.lomo.ru/site/about/index.php?stid=153&any=y,+7(812)2925215,"194044, Санкт-Петербург, Чугунная ул., 20",59.970029000000004,30.358556,0
Музей истории милиции Культурного центра ГУВД по Санкт-Петербургу и Ленинградской области,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,None,+7(812)7179536,"191024, Санкт-Петербург, ул. Полтавская, 12",59.92730600000001,30.370341999999997,0
Музей истории Научно-исследовательского института экспериментальной медицины Российской Академии медицинских наук,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://iemspb.ru/institute/museum/,+7(812)2342900,"197376, Санкт-Петербург, ул. Академика Павлова, 12",59.977242000000004,30.31059500000001,0
Музей истории Невского завода,Музеи,None,None,None,None,None,None,None,http://www.nzl.spb.ru/,+7(812)4482209 ,"193029, Санкт-Петербург, пр. Обуховской обороны, 51",59.904302,30.419453000000004,0
Музей истории Обуховского завода,Музеи,None,None,None,None,None,None,None,http://www.goz.ru/,+7(812)3639145,"193012, Санкт-Петербург, пр. Обуховской обороны, 120",59.863165,30.475876,0
Центр истории Парламентаризма в России,Музеи,None,None,None,None,None,None,None,http://parlament-history.ru/,+7(812)3266911,"191015, Санкт-Петербург, Шпалерная ул., 47 (Таврический дворец)",59.947559,30.375624,0
Музей истории российского пивоварения,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://www.heinekenrussia.ru/beer/museum_of_history_of_the_russian_beer/,+7(812)3311212 ,"198035, Санкт-Петербург, Степана Разина ул., 9",59.912395999999994,30.266308000000002,0
Музей истории подводного флота,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.museum.ru/m1983,+7 (812) 251-05-96,"198093, Санкт-Петербург, Морской пер., 3",59.910608999999994,30.296204,0
Музей истории подводных сил России им. А.И. Маринеско,Музеи,None,None,None,None,None,None,None,музеймаринеско.рф,+7(812)5436191,"195271, Санкт-Петербург, Кондратьевский пр., 83, корп. 1",59.982594999999996,30.398756,0
МУЗЕЙ ОАО «ПРОЛЕТАРСКИЙ ЗАВОД»,Музеи,None,None,None,None,None,None,None,www.proletarsky.ru,+7(812)6001280,"190029, Санкт-Петербург, пр. Обуховской обороны, 125",59.88796800000001,30.438012,0
Музей истории развития общественного питания Санкт-Петербургского Экономико-технологического колледжа питания,Музеи,None,None,None,None,None,None,None,www.etkp.spb.ru/about/museum,+7(812) 430-22-70,"197183, Санкт-Петербург, Приморский пр., 63",59.983072,30.270377000000003,0
Музей истории Российского государственного педагогического университета им. А.И. Герцена,Музеи,None,None,None,None,None,None,None,www.herzen.spb.ru/main/activity/museum,+7(812)5717154,"191186, Санкт-Петербург, наб. р. Мойки, 48, корп. 20а, 3 этаж",59.934813,30.321446999999996,0
Музей истории Русского географического общества,Музеи,None,None,None,None,None,None,None,https://www.rgo.ru/ru/obshchestvo/shtab-kvartira-v-sankt-peterburge/muzey,+7(812)3158335,"190000, Санкт-Петербург, Гривцова пер., 10",59.930363,30.31408900000001,0
Музей истории Санкт-Петербургского государственного технологического института,Музеи,None,None,None,None,None,None,None,www1.lti-gti.ru/museum,+7(812)4949356,"190013, Санкт-Петербург, Московский пр., 26",59.918831999999995,30.319003000000002,0
Музей истории Санкт-Петербургского государственного технологического университета растительных полимеров,Музеи,None,None,None,None,None,None,None,www.gturp.spb.ru,+7(812)7465492,"198055, Санкт-Петербург, ул. Ивана Черных, 4",59.900362,30.277744000000002,0
Санкт-Петербургский государственный университет. «Музей-архив Д.И. Менделеева»,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,spbu.ru/muzey-arhiv-d-i-mendeleeva,+7 (812) 328-97-44,"199034, Санкт-Петербург, Менделеевская линия, д. 2",59.940307,30.300048999999998,0
Музей истории Санкт-Петербургского государственного электротехнического университета (ЛЭТИ),Музеи,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,None,+7(812)3464779,"197376, Санкт-Петербург, Профессора Попова ул., 5",59.971064,30.320035999999998,0
Музей истории Санкт-Петербургского государственого архитектурно-строительного университета,Музеи,None,None,None,None,None,None,None,http://www.spbgasu.ru/Universitet/Muzey/Muzey_istorii_SPbGASU/,+7(812)5750504,"198005, Санкт-Петербург, 2-я Красноармейская ул., 4",59.916437,30.318788,0
Музей истории Санкт-Петербургского университета водных коммуникаций,Музеи,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,http://gumrf.ru/sveden/struct/centr/cpv/muz1/,(812) 748-97-27,"198035, Санкт-Петербург, Двинская ул., 5/7",59.90979300000001,30.250021999999998,0
КАБИНЕТ ИСТОРИИ САНКТ-ПЕТЕРБУРГСКОЙ ГОСУДАРСТВЕННОЙ КОНСЕРВАТОРИИ ИМЕНИ Н.А. РИМСКОГО-КОРСАКОВА,Музеи,None,None,None,None,None,None,None,www.conservatory.ru/node/122,+7(812)3125456 ,"Санкт-Петербург, Театральная пл., 3",59.925808999999994,30.298665000000003,0
Музей истории сберегательного дела при Северо-Западном банке Сбербанка России,Музеи,None,None,None,None,None,None,None,https://vk.com/club128722177,+7(812)3263431,"193036, Санкт-Петербург, Думская ул., д. 1",59.929790000000004,30.367198,0
Музей истории телефона,Музеи,None,None,None,None,None,None,None,www.telmuseum.ru,+7(812)3850385,"191015, Санкт-Петербург, Шпалерная ул., 60 (вход с ул. Таврической)",59.948816,30.379262,0
"Музей истории ФГУП ""Адмиралтейские верфи""",Музеи,None,None,None,None,None,None,None,http://www.museum.ru/m1986,+7(812)7148597,"190121, Санкт-Петербург, наб. р. Фонтанки, 203",59.916973999999996,30.277294,0
Музей истории фотографии,Музеи,None,None,None,None,None,None,None,www.photohismus.spb.ru,+7(812)3461850,"197376, Санкт-Петербург, ул. Профессора Попова, 23",59.971118000000004,30.312769,0
